code,onset,offset,code.value
transcribe,00:10:15.659,00:10:16.159,"m,are you gonna draw on me?"
transcribe,00:10:18.386,00:10:18.886,"m,here"
transcribe,00:10:28.525,00:10:29.025,"b,c"
transcribe,00:10:29.548,00:10:30.048,"b,c"
transcribe,00:10:34.105,00:10:34.605,"b,c"
transcribe,00:10:36.462,00:10:36.962,"m,wow"
transcribe,00:10:37.035,00:10:37.535,"m,can we draw a sun?"
transcribe,00:10:37.995,00:10:38.495,"m,lets draw a sun"
transcribe,00:10:41.784,00:10:42.284,"m,look"
transcribe,00:10:44.536,00:10:45.036,"m,the sun"
transcribe,00:10:45.047,00:10:45.547,"b,c"
transcribe,00:10:46.412,00:10:46.912,"b,b"
transcribe,00:10:47.026,00:10:47.526,"m,wow"
transcribe,00:10:47.233,00:10:47.733,"b,b"
transcribe,00:10:47.400,00:10:47.900,"b,b"
transcribe,00:10:48.764,00:10:49.264,"m,ready?"
transcribe,00:10:49.353,00:10:49.853,"m,we got a clean piece"
transcribe,00:10:55.657,00:10:56.157,"b,c"
transcribe,00:11:02.415,00:11:02.915,"m,wow"
transcribe,00:11:03.701,00:11:04.201,"b,b"
transcribe,00:11:04.834,00:11:05.334,"m,yeah?"
transcribe,00:11:06.227,00:11:06.727,"b,c"
transcribe,00:11:07.391,00:11:07.891,"b,b"
transcribe,00:11:08.058,00:11:08.558,"m,yeah?"
transcribe,00:11:10.288,00:11:10.788,"b,c"
transcribe,00:11:11.297,00:11:11.797,"m,should we do a cloud?"
transcribe,00:11:19.635,00:11:20.135,"m,we'll do another sun?"
transcribe,00:11:21.636,00:11:22.136,"b,c"
transcribe,00:11:28.424,00:11:28.924,"m,oo you're coloring the clouds"
transcribe,00:11:34.405,00:11:34.905,"b,b"
transcribe,00:11:34.823,00:11:35.323,"m,yeah"
transcribe,00:11:35.862,00:11:36.362,"m,oh good job"
transcribe,00:11:37.924,00:11:38.424,"m,no?"
transcribe,00:11:46.247,00:11:46.747,"b,c"
transcribe,00:11:46.837,00:11:47.337,"b,c"
transcribe,00:11:52.014,00:11:52.514,"b,c"
transcribe,00:11:53.379,00:11:53.879,"b,c"
transcribe,00:11:54.168,00:11:54.668,"b,b"
transcribe,00:11:57.020,00:11:57.520,"b,c"
transcribe,00:11:57.594,00:11:58.094,"m,what?"
transcribe,00:11:58.290,00:11:58.790,"b,c"
transcribe,00:11:58.804,00:11:59.304,"m,oh hon"
transcribe,00:11:59.982,00:12:00.482,"b,b"
transcribe,00:12:03.493,00:12:03.993,"b,c"
transcribe,00:12:03.909,00:12:04.409,"m,you feel better?"
transcribe,00:12:05.508,00:12:06.008,"m,got some gas?"
transcribe,00:12:06.328,00:12:06.828,"b,c"
transcribe,00:12:06.731,00:12:07.231,"b,c"
transcribe,00:12:08.654,00:12:09.154,"b,b"
transcribe,00:12:09.133,00:12:09.633,"m,yeah?"
transcribe,00:12:15.737,00:12:16.237,"m,feel better?"
transcribe,00:12:17.350,00:12:17.850,"m,yeah?"
transcribe,00:12:18.900,00:12:19.400,"m,what're you gonna get?"
transcribe,00:12:20.404,00:12:20.904,"m,you wann get the container?"
transcribe,00:12:21.829,00:12:22.329,"b,get that"
transcribe,00:12:22.542,00:12:23.042,"m,yeah?"
transcribe,00:12:30.508,00:12:31.008,"b,b"
transcribe,00:12:37.096,00:12:37.596,"m,hi"
transcribe,00:12:38.521,00:12:39.021,"b,b"
transcribe,00:12:41.062,00:12:41.562,"b,c"
transcribe,00:12:42.132,00:12:42.632,"b,c"
transcribe,00:12:44.163,00:12:44.663,"b,c"
transcribe,00:12:46.797,00:12:47.297,"m,uh oh"
transcribe,00:12:47.728,00:12:48.228,"b,c"
transcribe,00:12:55.571,00:12:56.071,"b,c"
transcribe,00:12:56.811,00:12:57.311,"b,b"
transcribe,00:12:58.795,00:12:59.295,"b,b"
transcribe,00:13:00.998,00:13:01.498,"m,what?"
transcribe,00:13:01.493,00:13:01.993,"b,b"
transcribe,00:13:03.788,00:13:04.288,"m,let's get xxx"
